UACE20,GEOID20,GEOIDFQ20,NAME20,NAMELSAD20,urban_mean,STATEFP,GEOID,STUSPS,NAME,rural_mean,urban_inc
97831,97831,400C200US97831,"Youngstown, OH","Youngstown, OH Urban Area",7.532906905,39,39,OH,Ohio,6.486223112,1.047
23824,23824,400C200US23824,"Detroit, MI","Detroit, MI Urban Area",8.590711974,26,26,MI,Michigan,5.145389178,3.445
2602,2602,400C200US02602,"Ann Arbor, MI","Ann Arbor, MI Urban Area",8.142900364,26,26,MI,Michigan,5.145389178,2.998
31087,31087,400C200US31087,"Fort Wayne, IN","Fort Wayne, IN Urban Area",7.94230449,18,18,IN,Indiana,7.004757482,0.938
71155,71155,400C200US71155,"Port Huron, MI","Port Huron, MI Urban Area",7.312396689,26,26,MI,Michigan,5.145389178,2.167
9271,9271,400C200US09271,"Boston, MA--NH","Boston, MA--NH Urban Area",6.500938895,25,25,MA,Massachusetts,4.704029792,1.797
82252,82252,400C200US82252,"Sioux Falls, SD","Sioux Falls, SD Urban Area",5.645885863,46,46,SD,South Dakota,4.777477462,0.868
4222,4222,400C200US04222,"Augusta-Richmond County, GA--SC","Augusta-Richmond County, GA--SC Urban Area",7.788611404,13,13,GA,Georgia,6.739591666,1.049
1495,1495,400C200US01495,"Allentown--Bethlehem, PA--NJ","Allentown--Bethlehem, PA--NJ Urban Area",8.029017402,42,42,PA,Pennsylvania,5.941080114,2.088
90730,90730,400C200US90730,"Vineland, NJ","Vineland, NJ Urban Area",6.472712526,34,34,NJ,New Jersey,4.809394989,1.663
63217,63217,400C200US63217,"New York--Jersey City--Newark, NY--NJ","New York--Jersey City--Newark, NY--NJ Urban Area",7.147848555,34,34,NJ,New Jersey,4.809394989,2.338
87787,87787,400C200US87787,"Titusville, FL","Titusville, FL Urban Area",7.089791047,12,12,FL,Florida,6.210653346,0.879
77149,77149,400C200US77149,"Saginaw, MI","Saginaw, MI Urban Area",6.909038171,26,26,MI,Michigan,5.145389178,1.764
5869,5869,400C200US05869,"Bay City, MI","Bay City, MI Urban Area",6.752069492,26,26,MI,Michigan,5.145389178,1.607
47530,47530,400C200US47530,"Lancaster--Manheim, PA","Lancaster--Manheim, PA Urban Area",8.486574694,42,42,PA,Pennsylvania,5.941080114,2.545
73693,73693,400C200US73693,"Reading, PA","Reading, PA Urban Area",8.348615333,42,42,PA,Pennsylvania,5.941080114,2.408
43210,43210,400C200US43210,"Johnson City, TN","Johnson City, TN Urban Area",6.271663335,47,47,TN,Tennessee,6.198586557,0.073
35461,35461,400C200US35461,"Greenville, SC","Greenville, SC Urban Area",7.459645341,45,45,SC,South Carolina,6.590711332,0.869
73396,73396,400C200US73396,"Rapid City, SD","Rapid City, SD Urban Area",4.928413109,46,46,SD,South Dakota,4.777477462,0.151
61786,61786,400C200US61786,"New Bedford, MA","New Bedford, MA Urban Area",5.969971309,25,25,MA,Massachusetts,4.704029792,1.266
95104,95104,400C200US95104,"Wichita Falls, TX","Wichita Falls, TX Urban Area",7.216474401,48,48,TX,Texas,6.463495491,0.753
6031,6031,400C200US06031,"Beaufort--Port Royal, SC","Beaufort--Port Royal, SC Urban Area",7.523971645,45,45,SC,South Carolina,6.590711332,0.933
22528,22528,400C200US22528,"Dayton, OH","Dayton, OH Urban Area",8.091563135,39,39,OH,Ohio,6.486223112,1.605
27253,27253,400C200US27253,"El Paso, TX--NM","El Paso, TX--NM Urban Area",7.465447323,48,48,TX,Texas,6.463495491,1.002
51364,51364,400C200US51364,"Lorain--Elyria, OH","Lorain--Elyria, OH Urban Area",7.631334882,39,39,OH,Ohio,6.486223112,1.145
47935,47935,400C200US47935,"Las Cruces, NM","Las Cruces, NM Urban Area",5.940096849,35,35,NM,New Mexico,4.993823431,0.946
88462,88462,400C200US88462,"Trenton, NJ","Trenton, NJ Urban Area",7.328905371,34,34,NJ,New Jersey,4.809394989,2.52
73153,73153,400C200US73153,"Racine, WI","Racine, WI Urban Area",6.880969644,55,55,WI,Wisconsin,5.252788515,1.628
31519,31519,400C200US31519,"Frederick, MD","Frederick, MD Urban Area",7.711807899,24,24,MD,Maryland,5.719359852,1.992
79039,79039,400C200US79039,"San Jose, CA","San Jose, CA Urban Area",8.220721599,6,6,CA,California,5.820606312,2.4
15508,15508,400C200US15508,"Charleston, SC","Charleston, SC Urban Area",7.43075705,45,45,SC,South Carolina,6.590711332,0.84
83548,83548,400C200US83548,"Spartanburg, SC","Spartanburg, SC Urban Area",7.498417303,45,45,SC,South Carolina,6.590711332,0.908
69697,69697,400C200US69697,"Pittsburgh, PA","Pittsburgh, PA Urban Area",8.109163522,42,42,PA,Pennsylvania,5.941080114,2.168
19234,19234,400C200US19234,"Columbus, OH","Columbus, OH Urban Area",7.961210419,39,39,OH,Ohio,6.486223112,1.475
61705,61705,400C200US61705,"Newark, OH","Newark, OH Urban Area",7.480217145,39,39,OH,Ohio,6.486223112,0.994
59410,59410,400C200US59410,"Morristown, TN","Morristown, TN Urban Area",6.764832554,47,47,TN,Tennessee,6.198586557,0.566
45235,45235,400C200US45235,"Kingsport, TN--VA","Kingsport, TN--VA Urban Area",6.565462972,47,47,TN,Tennessee,6.198586557,0.367
3358,3358,400C200US03358,"Asheville, NC","Asheville, NC Urban Area",5.925782891,37,37,NC,North Carolina,5.974952781,-0.049
43345,43345,400C200US43345,"Jonesboro, AR","Jonesboro, AR Urban Area",7.78825464,5,5,AR,Arkansas,6.941410046,0.847
31600,31600,400C200US31600,"Fredericksburg, VA","Fredericksburg, VA Urban Area",6.894113787,51,51,VA,Virginia,5.831688009,1.062
4843,4843,400C200US04843,"Baltimore, MD","Baltimore, MD Urban Area",7.427054795,24,24,MD,Maryland,5.719359852,1.708
92242,92242,400C200US92242,"Washington--Arlington, DC--VA--MD","Washington--Arlington, DC--VA--MD Urban Area",7.170520587,51,51,VA,Virginia,5.831688009,1.339
30061,30061,400C200US30061,"Florence, SC","Florence, SC Urban Area",7.04678311,45,45,SC,South Carolina,6.590711332,0.456
60895,60895,400C200US60895,"Myrtle Beach--North Myrtle Beach, SC--NC","Myrtle Beach--North Myrtle Beach, SC--NC Urban Area",7.002708114,45,45,SC,South Carolina,6.590711332,0.412
72505,72505,400C200US72505,"Providence, RI--MA","Providence, RI--MA Urban Area",6.449409464,44,44,RI,Rhode Island,4.579097909,1.87
74746,74746,400C200US74746,"Richmond, VA","Richmond, VA Urban Area",7.118354118,51,51,VA,Virginia,5.831688009,1.287
53740,53740,400C200US53740,"Manchester, NH","Manchester, NH Urban Area",6.222434567,33,33,NH,New Hampshire,4.595013387,1.627
61165,61165,400C200US61165,"Nashua, NH--MA","Nashua, NH--MA Urban Area",6.383294601,33,33,NH,New Hampshire,4.595013387,1.788
15670,15670,400C200US15670,"Charlotte, NC--SC","Charlotte, NC--SC Urban Area",7.798093242,37,37,NC,North Carolina,5.974952781,1.823
33814,33814,400C200US33814,"Goldsboro, NC","Goldsboro, NC Urban Area",6.94882378,37,37,NC,North Carolina,5.974952781,0.974
32491,32491,400C200US32491,"Galveston--Texas City, TX","Galveston--Texas City, TX Urban Area",8.045656154,48,48,TX,Texas,6.463495491,1.582
65269,65269,400C200US65269,"Omaha, NE--IA","Omaha, NE--IA Urban Area",6.733718105,31,31,NE,Nebraska,5.077656298,1.656
40753,40753,400C200US40753,"Huntington, WV--KY--OH","Huntington, WV--KY--OH Urban Area",7.040330762,54,54,WV,West Virginia,5.530576165,1.51
