State,ST,Sector,EISSector,Pollutant,e2022,e2026,e2032,e2038
Alabama,AL,airports,Airports,CO,10012.3,10111.87,10186.57,10153.35
Alaska,AK,airports,Airports,CO,8886.77,9244.84,9551.35,9869.02
Arizona,AZ,airports,Airports,CO,12889.47,14293.46,14868.06,15398.79
Arkansas,AR,airports,Airports,CO,5962.05,6089.91,6245.87,6423.17
California,CA,airports,Airports,CO,36528.82,40113.02,42289.38,44408.74
Colorado,CO,airports,Airports,CO,11284.61,12614.31,13544.29,14498.16
Connecticut,CT,airports,Airports,CO,1792.01,2163.63,2201.66,2235.34
Delaware,DE,airports,Airports,CO,1334.05,2068.04,2092.98,2120.5
District of Columbia,DC,airports,Airports,CO,1.1,1.1,1.1,1.1
Florida,FL,airports,Airports,CO,31925.14,36256.42,38785.35,41404.89
Georgia,GA,airports,Airports,CO,11627.19,12555.1,13382.03,14408.35
Hawaii,HI,airports,Airports,CO,3920.11,4412.69,4675.42,4918.22
Idaho,ID,airports,Airports,CO,3568.68,3738.96,4105.26,4524.98
Illinois,IL,airports,Airports,CO,13095.03,14246.61,15387.75,16314.54
Indiana,IN,airports,Airports,CO,4846.59,5237.76,5509.64,5797.2
Iowa,IA,airports,Airports,CO,3061.08,3173.38,3205.27,3237.47
Kansas,KS,airports,Airports,CO,5953.01,6052.07,6088.98,6126.42
Kentucky,KY,airports,Airports,CO,4980.27,5640.69,6042.24,6434.19
Louisiana,LA,airports,Airports,CO,6189.38,6566.98,6727.02,6822.06
Maine,ME,airports,Airports,CO,1776.24,1805.49,1824.73,1844.22
Maryland,MD,airports,Airports,CO,3488.47,3845.04,3987.82,4134.7
Massachusetts,MA,airports,Airports,CO,6613.49,7168.73,7616.21,8001.33
Michigan,MI,airports,Airports,CO,7351.49,7923.46,8268.78,8558.82
Minnesota,MN,airports,Airports,CO,7061.25,7587.67,8023.67,8477.4
Mississippi,MS,airports,Airports,CO,8140.04,8290.82,8339.47,8389.3
Missouri,MO,airports,Airports,CO,5448.1,6030.98,6207.77,6398.09
Montana,MT,airports,Airports,CO,2686.08,2733.05,2793.71,2857.46
Nebraska,NE,airports,Airports,CO,2819.22,2880.92,2911.97,2944.19
Nevada,NV,airports,Airports,CO,5342.42,6086.21,6478.81,6885.74
New Hampshire,NH,airports,Airports,CO,1317.1,1319.62,1327.74,1335.75
New Jersey,NJ,airports,Airports,CO,7815.31,8653.32,9332.87,10021.61
New Mexico,NM,airports,Airports,CO,2451.77,2524.85,2599.23,2679.33
New York,NY,airports,Airports,CO,15284.58,16878.14,18154.28,19428.41
North Carolina,NC,airports,Airports,CO,11751.57,12681.52,13238.37,13842.34
North Dakota,ND,airports,Airports,CO,2719.32,2805.27,2885.36,2969.78
Ohio,OH,airports,Airports,CO,9254.35,10272.03,10573.19,10861.33
Oklahoma,OK,airports,Airports,CO,7004.59,7518.72,7597.79,7677.19
Oregon,OR,airports,Airports,CO,5254.3,5757.91,6238.83,6759.66
Pennsylvania,PA,airports,Airports,CO,8646.16,9357.27,9919.55,10501.97
Puerto Rico,PR,airports,Airports,CO,2218.24,2875.91,2953.67,3021.69
Rhode Island,RI,airports,Airports,CO,632.49,657.39,664.71,672.07
South Carolina,SC,airports,Airports,CO,4176.05,4445.26,4687.15,4940.5
South Dakota,SD,airports,Airports,CO,1441.21,1484.28,1525.18,1567.88
Tennessee,TN,airports,Airports,CO,8330.14,9411.73,10015.95,10678.99
Texas,TX,airports,Airports,CO,34087.78,37647.12,39781.23,41891.75
Tribal Data,TRIBAL ,airports,Airports,CO,228.83,274.84,293.53,303.53
Utah,UT,airports,Airports,CO,3687.41,4032.86,4317.03,4464.76
Vermont,VT,airports,Airports,CO,563.51,580.14,588.03,596.07
Virgin Islands,USVI,airports,Airports,CO,579.73,683.46,698.23,713.15
Virginia,VA,airports,Airports,CO,10186.6,11360.46,11798.62,12199.41
Washington,WA,airports,Airports,CO,10798.93,11319.68,12253.75,13250.46
West Virginia,WV,airports,Airports,CO,1220.56,1262.78,1289.73,1318.46
Wisconsin,WI,airports,Airports,CO,6326.52,6507.26,6635.57,6769.43
Wyoming,WY,airports,Airports,CO,965.94,980.61,998.73,1017.28
Alabama,AL,beis,Biogenic,CO,121520.9,121520.9,121520.9,121520.9
Arizona,AZ,beis,Biogenic,CO,64996.42,64996.42,64996.42,64996.42
Arkansas,AR,beis,Biogenic,CO,105070.86,105070.86,105070.86,105070.86
California,CA,beis,Biogenic,CO,208521.93,208521.93,208521.93,208521.93
Colorado,CO,beis,Biogenic,CO,60106.27,60106.27,60106.27,60106.27
Connecticut,CT,beis,Biogenic,CO,5237.82,5237.82,5237.82,5237.82
Delaware,DE,beis,Biogenic,CO,3119.25,3119.25,3119.25,3119.25
District of Columbia,DC,beis,Biogenic,CO,153.26,153.26,153.26,153.26
Florida,FL,beis,Biogenic,CO,138142.39,138142.39,138142.39,138142.39
Georgia,GA,beis,Biogenic,CO,143863.55,143863.55,143863.55,143863.55
Idaho,ID,beis,Biogenic,CO,66487.15,66487.15,66487.15,66487.15
Illinois,IL,beis,Biogenic,CO,67214.06,67214.06,67214.06,67214.06
Indiana,IN,beis,Biogenic,CO,45203.3,45203.3,45203.3,45203.3
Iowa,IA,beis,Biogenic,CO,52452.72,52452.72,52452.72,52452.72
Kansas,KS,beis,Biogenic,CO,81380.61,81380.61,81380.61,81380.61
Kentucky,KY,beis,Biogenic,CO,69259.94,69259.94,69259.94,69259.94
Louisiana,LA,beis,Biogenic,CO,101238.4,101238.4,101238.4,101238.4
Maine,ME,beis,Biogenic,CO,29897.76,29897.76,29897.76,29897.76
Maryland,MD,beis,Biogenic,CO,16422.77,16422.77,16422.77,16422.77
Massachusetts,MA,beis,Biogenic,CO,8865.04,8865.04,8865.04,8865.04
Michigan,MI,beis,Biogenic,CO,50837.26,50837.26,50837.26,50837.26
Minnesota,MN,beis,Biogenic,CO,55833.09,55833.09,55833.09,55833.09
Mississippi,MS,beis,Biogenic,CO,117522.99,117522.99,117522.99,117522.99
Missouri,MO,beis,Biogenic,CO,100605.96,100605.96,100605.96,100605.96
Montana,MT,beis,Biogenic,CO,78846.91,78846.91,78846.91,78846.91
Nebraska,NE,beis,Biogenic,CO,57706.52,57706.52,57706.52,57706.52
Nevada,NV,beis,Biogenic,CO,46388.35,46388.35,46388.35,46388.35
New Hampshire,NH,beis,Biogenic,CO,10317.05,10317.05,10317.05,10317.05
New Jersey,NJ,beis,Biogenic,CO,9436.35,9436.35,9436.35,9436.35
New Mexico,NM,beis,Biogenic,CO,62213.8,62213.8,62213.8,62213.8
New York,NY,beis,Biogenic,CO,49104.33,49104.33,49104.33,49104.33
North Carolina,NC,beis,Biogenic,CO,95745.4,95745.4,95745.4,95745.4
North Dakota,ND,beis,Biogenic,CO,36927.09,36927.09,36927.09,36927.09
Ohio,OH,beis,Biogenic,CO,50737.75,50737.75,50737.75,50737.75
Oklahoma,OK,beis,Biogenic,CO,85628.83,85628.83,85628.83,85628.83
Oregon,OR,beis,Biogenic,CO,123115.41,123115.41,123115.41,123115.41
Pennsylvania,PA,beis,Biogenic,CO,52700.03,52700.03,52700.03,52700.03
Rhode Island,RI,beis,Biogenic,CO,1180.65,1180.65,1180.65,1180.65
South Carolina,SC,beis,Biogenic,CO,69491.37,69491.37,69491.37,69491.37
South Dakota,SD,beis,Biogenic,CO,45358.26,45358.26,45358.26,45358.26
Tennessee,TN,beis,Biogenic,CO,84142.58,84142.58,84142.58,84142.58
Texas,TX,beis,Biogenic,CO,363204.76,363204.76,363204.76,363204.76
Utah,UT,beis,Biogenic,CO,44432.92,44432.92,44432.92,44432.92
Vermont,VT,beis,Biogenic,CO,9809.38,9809.38,9809.38,9809.38
Virginia,VA,beis,Biogenic,CO,66621.89,66621.89,66621.89,66621.89
Washington,WA,beis,Biogenic,CO,98626.55,98626.55,98626.55,98626.55
West Virginia,WV,beis,Biogenic,CO,33808.11,33808.11,33808.11,33808.11
Wisconsin,WI,beis,Biogenic,CO,45447.31,45447.31,45447.31,45447.31
Wyoming,WY,beis,Biogenic,CO,41209.24,41209.24,41209.24,41209.24
Alabama,AL,cmv_c1c2,Commercial Marine (C1/C2),CO,476.01,504.45,547.06,596.42
Alaska,AK,cmv_c1c2,Commercial Marine (C1/C2),CO,928.31,1035.2,1176.15,1278.98
Arkansas,AR,cmv_c1c2,Commercial Marine (C1/C2),CO,291.97,290.38,289.53,295.44
California,CA,cmv_c1c2,Commercial Marine (C1/C2),CO,1127.1,1189.88,1277.76,1359.38
Connecticut,CT,cmv_c1c2,Commercial Marine (C1/C2),CO,142.29,145.96,151.43,158.13
Delaware,DE,cmv_c1c2,Commercial Marine (C1/C2),CO,132.81,135.09,138.45,142.96
District of Columbia,DC,cmv_c1c2,Commercial Marine (C1/C2),CO,13.17,13.77,14.67,15.72
Florida,FL,cmv_c1c2,Commercial Marine (C1/C2),CO,1166.13,1200.36,1250.92,1313.77
Georgia,GA,cmv_c1c2,Commercial Marine (C1/C2),CO,128.59,129.58,130.99,133.41
Hawaii,HI,cmv_c1c2,Commercial Marine (C1/C2),CO,239.47,257.2,282.27,311
Idaho,ID,cmv_c1c2,Commercial Marine (C1/C2),CO,0.2,0.2,0.19,0.19
Illinois,IL,cmv_c1c2,Commercial Marine (C1/C2),CO,569.2,565.93,564,575.33
Indiana,IN,cmv_c1c2,Commercial Marine (C1/C2),CO,64.16,64.55,65.46,67.75
Iowa,IA,cmv_c1c2,Commercial Marine (C1/C2),CO,76.01,75.24,74.49,75.55
Kansas,KS,cmv_c1c2,Commercial Marine (C1/C2),CO,0.85,0.84,0.84,0.86
Kentucky,KY,cmv_c1c2,Commercial Marine (C1/C2),CO,749.34,745.17,742.84,757.9
Louisiana,LA,cmv_c1c2,Commercial Marine (C1/C2),CO,4366.3,4600.37,4952.84,5370.37
Maine,ME,cmv_c1c2,Commercial Marine (C1/C2),CO,285.55,289.59,295.53,303.91
Maryland,MD,cmv_c1c2,Commercial Marine (C1/C2),CO,517.18,518.43,519.95,525.31
Massachusetts,MA,cmv_c1c2,Commercial Marine (C1/C2),CO,440.54,447.62,458.04,472.1
Michigan,MI,cmv_c1c2,Commercial Marine (C1/C2),CO,647.88,636.05,621.97,624.88
Minnesota,MN,cmv_c1c2,Commercial Marine (C1/C2),CO,92.63,91.61,90.57,91.81
Mississippi,MS,cmv_c1c2,Commercial Marine (C1/C2),CO,604.19,640.05,693.59,755.7
Missouri,MO,cmv_c1c2,Commercial Marine (C1/C2),CO,402.21,398.22,394.38,400.13
Nebraska,NE,cmv_c1c2,Commercial Marine (C1/C2),CO,0.66,0.65,0.63,0.64
New Hampshire,NH,cmv_c1c2,Commercial Marine (C1/C2),CO,21.07,21.22,21.43,21.81
New Jersey,NJ,cmv_c1c2,Commercial Marine (C1/C2),CO,629.33,634.38,641.56,653.65
New York,NY,cmv_c1c2,Commercial Marine (C1/C2),CO,903.62,913.53,928.18,950.78
Non-US SECA C3,OFFSHORE,cmv_c1c2,Commercial Marine (C1/C2),CO,1129.92,1129.92,1129.92,1129.92
North Carolina,NC,cmv_c1c2,Commercial Marine (C1/C2),CO,346.9,353.23,362.61,375.03
North Dakota,ND,cmv_c1c2,Commercial Marine (C1/C2),CO,0.01,0.01,0.01,0.01
Offshore to EEZ,OFFSHORE,cmv_c1c2,Commercial Marine (C1/C2),CO,4319.26,4516.96,4805.99,5130.07
Ohio,OH,cmv_c1c2,Commercial Marine (C1/C2),CO,181.56,180.31,179.41,182.81
Oklahoma,OK,cmv_c1c2,Commercial Marine (C1/C2),CO,25.52,25.6,25.84,26.65
Oregon,OR,cmv_c1c2,Commercial Marine (C1/C2),CO,387.52,407.52,435.12,459.89
Pennsylvania,PA,cmv_c1c2,Commercial Marine (C1/C2),CO,216.83,217.02,217.79,221.9
Puerto Rico,PR,cmv_c1c2,Commercial Marine (C1/C2),CO,192.36,192.36,192.36,192.36
Rhode Island,RI,cmv_c1c2,Commercial Marine (C1/C2),CO,151.44,153.01,155.3,158.83
South Carolina,SC,cmv_c1c2,Commercial Marine (C1/C2),CO,196.22,197.29,198.77,201.76
Tennessee,TN,cmv_c1c2,Commercial Marine (C1/C2),CO,337.08,334.83,333.23,339.51
Texas,TX,cmv_c1c2,Commercial Marine (C1/C2),CO,2328.52,2469.58,2681.35,2925.39
Vermont,VT,cmv_c1c2,Commercial Marine (C1/C2),CO,0.44,0.43,0.42,0.42
Virgin Islands,USVI,cmv_c1c2,Commercial Marine (C1/C2),CO,116.78,116.78,116.78,116.78
Virginia,VA,cmv_c1c2,Commercial Marine (C1/C2),CO,708.2,715.01,724.84,740.39
Washington,WA,cmv_c1c2,Commercial Marine (C1/C2),CO,1153.4,1242.74,1371.38,1498.68
West Virginia,WV,cmv_c1c2,Commercial Marine (C1/C2),CO,210.72,215.54,222.73,231.9
Wisconsin,WI,cmv_c1c2,Commercial Marine (C1/C2),CO,203.09,201.46,200.09,203.68
Alabama,AL,cmv_c3,Commercial Marine (C3),CO,143.58,151.56,163.82,180.21
Alaska,AK,cmv_c3,Commercial Marine (C3),CO,1043.28,1155.87,1304.06,1411.88
California,CA,cmv_c3,Commercial Marine (C3),CO,1343.56,1451.8,1612.22,1781.82
Connecticut,CT,cmv_c3,Commercial Marine (C3),CO,14.66,14.52,14.29,14.14
Delaware,DE,cmv_c3,Commercial Marine (C3),CO,230.12,239.06,253.18,271.1
Florida,FL,cmv_c3,Commercial Marine (C3),CO,1087.5,1113.96,1154.29,1208.27
Georgia,GA,cmv_c3,Commercial Marine (C3),CO,263.19,283.39,315.55,354.62
Hawaii,HI,cmv_c3,Commercial Marine (C3),CO,169.6,182.43,200.71,221.05
Illinois,IL,cmv_c3,Commercial Marine (C3),CO,13.55,13.17,12.7,12.63
Indiana,IN,cmv_c3,Commercial Marine (C3),CO,6.56,6.41,6.23,6.24
Louisiana,LA,cmv_c3,Commercial Marine (C3),CO,1449.57,1510.34,1601.67,1732.86
Maine,ME,cmv_c3,Commercial Marine (C3),CO,26.96,26.83,26.61,26.55
Maryland,MD,cmv_c3,Commercial Marine (C3),CO,434.52,459.42,498.06,543.85
Massachusetts,MA,cmv_c3,Commercial Marine (C3),CO,77.72,79.06,81.13,84.03
Michigan,MI,cmv_c3,Commercial Marine (C3),CO,520.62,507.1,490.02,487.98
Minnesota,MN,cmv_c3,Commercial Marine (C3),CO,37.13,36.06,34.68,34.41
Mississippi,MS,cmv_c3,Commercial Marine (C3),CO,27.16,28.81,31.28,34.24
New Hampshire,NH,cmv_c3,Commercial Marine (C3),CO,3.71,3.7,3.68,3.68
New Jersey,NJ,cmv_c3,Commercial Marine (C3),CO,430.88,455.28,494.01,541.82
New York,NY,cmv_c3,Commercial Marine (C3),CO,307.98,317.41,333.04,355.41
Non-US SECA C3,OFFSHORE,cmv_c3,Commercial Marine (C3),CO,20458.74,20458.74,20458.74,20458.74
North Carolina,NC,cmv_c3,Commercial Marine (C3),CO,52.73,55.23,59.2,64.23
Offshore to EEZ,OFFSHORE,cmv_c3,Commercial Marine (C3),CO,38299.32,40812.82,44655.8,49109.41
Ohio,OH,cmv_c3,Commercial Marine (C3),CO,49.2,48.14,46.83,46.87
Oregon,OR,cmv_c3,Commercial Marine (C3),CO,208.5,225.32,249.4,273.62
Pennsylvania,PA,cmv_c3,Commercial Marine (C3),CO,87.07,89.74,93.97,99.53
Puerto Rico,PR,cmv_c3,Commercial Marine (C3),CO,213.39,213.39,213.39,213.39
Rhode Island,RI,cmv_c3,Commercial Marine (C3),CO,33.89,34.42,35.18,36.17
South Carolina,SC,cmv_c3,Commercial Marine (C3),CO,175.4,186.99,205.49,228.22
Texas,TX,cmv_c3,Commercial Marine (C3),CO,1669.9,1783.02,1952.24,2143.98
Virgin Islands,USVI,cmv_c3,Commercial Marine (C3),CO,138.08,138.08,138.08,138.08
Virginia,VA,cmv_c3,Commercial Marine (C3),CO,606.3,641.17,696.1,762.97
Washington,WA,cmv_c3,Commercial Marine (C3),CO,849.82,927.22,1042.22,1164.92
Wisconsin,WI,cmv_c3,Commercial Marine (C3),CO,55.67,54.35,52.72,52.68
Alabama,AL,nonpt,Nonpoint,CO,43481.65,44868.69,46294.39,47732.76
Alaska,AK,nonpt,Nonpoint,CO,33767.08,33727.15,33690.01,33633.51
Arizona,AZ,nonpt,Nonpoint,CO,7625.36,7777.11,8118.23,8496.48
Arkansas,AR,nonpt,Nonpoint,CO,16267.14,16267.37,16534.64,16686.79
California,CA,nonpt,Nonpoint,CO,78388.78,78292.22,79761.19,80206.42
Colorado,CO,nonpt,Nonpoint,CO,6459.27,6687.23,7009.78,7340.12
Connecticut,CT,nonpt,Nonpoint,CO,8598.19,8320.07,8115.51,7969.01
Delaware,DE,nonpt,Nonpoint,CO,2152.01,2112.11,2096.49,2083.73
District of Columbia,DC,nonpt,Nonpoint,CO,1012.48,1000.32,996.2,990.43
Florida,FL,nonpt,Nonpoint,CO,30507.98,31749.21,33448.64,35125.96
Georgia,GA,nonpt,Nonpoint,CO,45898.58,47407.87,49288.19,51112.41
Hawaii,HI,nonpt,Nonpoint,CO,1014.25,1020.38,1023.31,1022.94
Idaho,ID,nonpt,Nonpoint,CO,8273.45,8535.06,8937.92,9322.6
Illinois,IL,nonpt,Nonpoint,CO,27196.48,26408.35,25802.37,25064.44
Indiana,IN,nonpt,Nonpoint,CO,21962.2,21234.25,20529.64,19826.44
Iowa,IA,nonpt,Nonpoint,CO,11762.75,11466.46,11174.47,10883.69
Kansas,KS,nonpt,Nonpoint,CO,6204.33,6030.9,5919.46,5800.08
Kentucky,KY,nonpt,Nonpoint,CO,6976.82,7145.08,7293.45,7442.02
Louisiana,LA,nonpt,Nonpoint,CO,36684.63,35752.27,36048.06,35925.06
Maine,ME,nonpt,Nonpoint,CO,10327.99,9936.03,9694.77,9521.38
Maryland,MD,nonpt,Nonpoint,CO,8727.4,8540.68,8524.97,8481.96
Massachusetts,MA,nonpt,Nonpoint,CO,12368.67,11929.21,11641.53,11455.03
Michigan,MI,nonpt,Nonpoint,CO,25678.05,25142.27,24787.26,24344.16
Minnesota,MN,nonpt,Nonpoint,CO,18227.49,17996.37,17954.3,17866.42
Mississippi,MS,nonpt,Nonpoint,CO,11350.87,11536.4,11640.57,11766.69
Missouri,MO,nonpt,Nonpoint,CO,11326.47,11092.76,10973.33,10836.57
Montana,MT,nonpt,Nonpoint,CO,3627.35,3593.53,3570.05,3550.02
Nebraska,NE,nonpt,Nonpoint,CO,3546.59,3462.84,3427.9,3379.62
Nevada,NV,nonpt,Nonpoint,CO,4224,4276.82,4397.47,4522.58
New Hampshire,NH,nonpt,Nonpoint,CO,2958.2,2863.48,2815.57,2778.1
New Jersey,NJ,nonpt,Nonpoint,CO,17221.24,16943.01,16756.41,16467
New Mexico,NM,nonpt,Nonpoint,CO,3986.91,3978.91,3994.57,4028.06
New York,NY,nonpt,Nonpoint,CO,40239.65,39435.01,38967.27,38288.32
North Carolina,NC,nonpt,Nonpoint,CO,13285.53,13477.49,13913.75,14345.63
North Dakota,ND,nonpt,Nonpoint,CO,5496.38,4923.93,4747.6,4509.02
Ohio,OH,nonpt,Nonpoint,CO,19602.23,19339.87,19214.23,19012.79
Oklahoma,OK,nonpt,Nonpoint,CO,11225.55,11263.69,11508.78,11694.46
Oregon,OR,nonpt,Nonpoint,CO,14015.49,14445.7,15199.24,15856.86
Pennsylvania,PA,nonpt,Nonpoint,CO,39932.48,39105.71,38657.4,38191.09
Puerto Rico,PR,nonpt,Nonpoint,CO,4871.76,4851.75,4825.29,4802.56
Rhode Island,RI,nonpt,Nonpoint,CO,1727.23,1668.8,1634.55,1612.34
South Carolina,SC,nonpt,Nonpoint,CO,18068.09,18601.21,19265.77,19904.53
South Dakota,SD,nonpt,Nonpoint,CO,3248.25,3104.85,2998.02,2891.29
Tennessee,TN,nonpt,Nonpoint,CO,9688.46,9838.19,9957.26,10070.63
Texas,TX,nonpt,Nonpoint,CO,54760.99,54050.63,55445.78,56509.22
Tribal Data,TRIBAL ,nonpt,Nonpoint,CO,94.98,94.09,92.91,91.9
Utah,UT,nonpt,Nonpoint,CO,4361.76,4416.93,4540.21,4674.31
Vermont,VT,nonpt,Nonpoint,CO,2148.29,2032.88,1974.28,1918.36
Virgin Islands,USVI,nonpt,Nonpoint,CO,125.16,124.43,123.46,122.63
Virginia,VA,nonpt,Nonpoint,CO,30130.79,30728.24,31653.45,32552.3
Washington,WA,nonpt,Nonpoint,CO,16101.25,16027.35,16321.01,16521.93
West Virginia,WV,nonpt,Nonpoint,CO,1497.36,1472.69,1479.23,1484.31
Wisconsin,WI,nonpt,Nonpoint,CO,23278.93,23134.86,23107.17,23051.71
Wyoming,WY,nonpt,Nonpoint,CO,689.47,707.22,734.92,762.18
Alabama,AL,nonroad,Nonroad Mobile,CO,177459.35,180498.26,187522.24,196053.89
Alaska,AK,nonroad,Nonroad Mobile,CO,39770.23,38793.1,38556.82,38706.79
Arizona,AZ,nonroad,Nonroad Mobile,CO,189142.62,194501.76,206724.31,223179.18
Arkansas,AR,nonroad,Nonroad Mobile,CO,119430.62,121258.87,125073.15,131710.69
California,CA,nonroad,Nonroad Mobile,CO,923549.27,970959.76,1022717.67,1064852.4
Colorado,CO,nonroad,Nonroad Mobile,CO,244428.32,258469.92,282798.98,309753.74
Connecticut,CT,nonroad,Nonroad Mobile,CO,119133.82,119874.3,121968.92,124724.12
Delaware,DE,nonroad,Nonroad Mobile,CO,53528.73,55147.95,59058.42,63686.95
District of Columbia,DC,nonroad,Nonroad Mobile,CO,7567.85,7845.54,8326.4,8838.5
Florida,FL,nonroad,Nonroad Mobile,CO,946925.45,990079.37,1070098.1,1152607.17
Georgia,GA,nonroad,Nonroad Mobile,CO,361224.37,373826.21,396745.93,421869.45
Hawaii,HI,nonroad,Nonroad Mobile,CO,48231.58,49376.3,51711.68,54262.49
Idaho,ID,nonroad,Nonroad Mobile,CO,77155.04,77317.8,78923.04,81364.96
Illinois,IL,nonroad,Nonroad Mobile,CO,433567.65,438109.84,449214.32,463443.09
Indiana,IN,nonroad,Nonroad Mobile,CO,237429.92,242130.31,251269.54,264297.87
Iowa,IA,nonroad,Nonroad Mobile,CO,136337.8,136957.28,141982.52,149484.06
Kansas,KS,nonroad,Nonroad Mobile,CO,106332.18,106157.94,107557.49,110937.03
Kentucky,KY,nonroad,Nonroad Mobile,CO,124634.49,126015.38,129848.25,134820.24
Louisiana,LA,nonroad,Nonroad Mobile,CO,141323.13,141602.43,143813.08,146931.53
Maine,ME,nonroad,Nonroad Mobile,CO,86845.88,85753.19,87126.81,88951.21
Maryland,MD,nonroad,Nonroad Mobile,CO,214002.22,219361.77,229063.25,238943.29
Massachusetts,MA,nonroad,Nonroad Mobile,CO,227119.44,230270.17,237347.32,245294.23
Michigan,MI,nonroad,Nonroad Mobile,CO,338328.3,336325.01,339074.3,344068.96
Minnesota,MN,nonroad,Nonroad Mobile,CO,290860.56,290683.63,297743.87,308655.97
Mississippi,MS,nonroad,Nonroad Mobile,CO,76963.23,77000.69,77913.71,79658.93
Missouri,MO,nonroad,Nonroad Mobile,CO,229461.96,229091.32,230381.34,234189.07
Montana,MT,nonroad,Nonroad Mobile,CO,45216.98,44944.68,46036.05,47972.38
Nebraska,NE,nonroad,Nonroad Mobile,CO,81245.66,80630.92,81334.92,84160.96
Nevada,NV,nonroad,Nonroad Mobile,CO,124058.68,126881.32,132587.3,139685.52
New Hampshire,NH,nonroad,Nonroad Mobile,CO,66043.52,66411.67,68056.87,70180.48
New Jersey,NJ,nonroad,Nonroad Mobile,CO,296015.78,298705.4,306546.98,316060.35
New Mexico,NM,nonroad,Nonroad Mobile,CO,58659.7,59442.57,61238.93,63670.55
New York,NY,nonroad,Nonroad Mobile,CO,584093.58,603763.41,641449.95,686270.49
North Carolina,NC,nonroad,Nonroad Mobile,CO,364852.31,377902.22,402665.75,431810.6
North Dakota,ND,nonroad,Nonroad Mobile,CO,68022.96,67741.78,69636.18,74099.96
Ohio,OH,nonroad,Nonroad Mobile,CO,397231.34,399285.06,405637.71,414140.86
Oklahoma,OK,nonroad,Nonroad Mobile,CO,168602.81,172962.18,181998.2,192201.73
Oregon,OR,nonroad,Nonroad Mobile,CO,195833.24,206803.48,226285.72,248985.98
Pennsylvania,PA,nonroad,Nonroad Mobile,CO,404413.07,407596.84,415254.89,423405.22
Puerto Rico,PR,nonroad,Nonroad Mobile,CO,130101.38,137246.81,149399.47,161673.86
Rhode Island,RI,nonroad,Nonroad Mobile,CO,28471.85,28684.44,29314.07,30167.36
South Carolina,SC,nonroad,Nonroad Mobile,CO,203938.33,209577.26,221041.09,233318.14
South Dakota,SD,nonroad,Nonroad Mobile,CO,41613.8,41047.6,41458.43,43024.32
Tennessee,TN,nonroad,Nonroad Mobile,CO,216793.05,221495.22,231801.53,243925.9
Texas,TX,nonroad,Nonroad Mobile,CO,893379.16,949681.39,1052019.75,1171790.11
Utah,UT,nonroad,Nonroad Mobile,CO,92353.13,96623.43,104968.62,115120.93
Vermont,VT,nonroad,Nonroad Mobile,CO,32494.25,32687.99,33687.69,35218.63
Virgin Islands,USVI,nonroad,Nonroad Mobile,CO,4487.6,4661.34,4988.33,5331.28
Virginia,VA,nonroad,Nonroad Mobile,CO,293116.95,293642.87,297112.1,301949.29
Washington,WA,nonroad,Nonroad Mobile,CO,256485.21,266148.02,284341.6,305666.22
West Virginia,WV,nonroad,Nonroad Mobile,CO,51999.65,52579.32,53677.5,54898.04
Wisconsin,WI,nonroad,Nonroad Mobile,CO,242560.25,239120.57,240439.72,244293.3
Wyoming,WY,nonroad,Nonroad Mobile,CO,25196.42,25505.42,26452.98,27620.53
Alabama,AL,np_oilgas,Nonpoint Oil and Gas,CO,5549.11,4680.93,4386.2,3722.21
Alaska,AK,np_oilgas,Nonpoint Oil and Gas,CO,5077.03,5105.86,5794.43,5728.83
Arizona,AZ,np_oilgas,Nonpoint Oil and Gas,CO,16.25,15.33,14.25,13.31
Arkansas,AR,np_oilgas,Nonpoint Oil and Gas,CO,4305.1,3698.57,3404.97,3153.48
California,CA,np_oilgas,Nonpoint Oil and Gas,CO,4255.26,3971.61,3842.98,2987.06
Colorado,CO,np_oilgas,Nonpoint Oil and Gas,CO,31409.35,31734.93,31263.57,30577.26
Florida,FL,np_oilgas,Nonpoint Oil and Gas,CO,46.81,40.09,39.94,39.81
Idaho,ID,np_oilgas,Nonpoint Oil and Gas,CO,15.89,14.44,13.35,12.42
Illinois,IL,np_oilgas,Nonpoint Oil and Gas,CO,21025.88,20883.02,20811.71,20741.53
Indiana,IN,np_oilgas,Nonpoint Oil and Gas,CO,3936.26,3557.11,3516.58,3476.26
Kansas,KS,np_oilgas,Nonpoint Oil and Gas,CO,34562.85,28759.76,29136.48,30254.43
Kentucky,KY,np_oilgas,Nonpoint Oil and Gas,CO,23579.35,20996.03,19919.24,18993.65
Louisiana,LA,np_oilgas,Nonpoint Oil and Gas,CO,20925.77,20284.13,18850.22,18663.54
Maryland,MD,np_oilgas,Nonpoint Oil and Gas,CO,0.91,0.85,0.77,0.71
Michigan,MI,np_oilgas,Nonpoint Oil and Gas,CO,14735.88,13913.78,12856.06,11947.4
Mississippi,MS,np_oilgas,Nonpoint Oil and Gas,CO,2670.18,2521.63,2337.42,2179.18
Missouri,MO,np_oilgas,Nonpoint Oil and Gas,CO,357.13,341.56,341.35,341.16
Montana,MT,np_oilgas,Nonpoint Oil and Gas,CO,2942.29,3505.98,3783.67,3994.76
Nebraska,NE,np_oilgas,Nonpoint Oil and Gas,CO,375.06,366.78,361.84,357.6
Nevada,NV,np_oilgas,Nonpoint Oil and Gas,CO,9.47,9.08,9.08,9.08
New Mexico,NM,np_oilgas,Nonpoint Oil and Gas,CO,95270.22,93602.26,88877.51,84578.3
